Name,Height,Position,High School,Hometown,College Choice
Lindsay Allen,5-8,G,"St. Johns College , DC","Washington , DC",Notre Dame
Lexie Brown,5-9,G,North Gwinnett,"Suwanee , GA",Maryland
Alaina Coates,6-4,C,Dutch Fork,"Irmo , SC",South Carolina
Nia Coffey,6-1,F,Hopkins,"Minneapolis , MN",Northwestern
Kaela Davis,6-2,G,Buford,"Buford , GA",Georgia Tech
Diamond DeShields,6-2,G,Norcross,"Norcross , GA",North Carolina
Makayla Epps,5-8,G,Marion County,"Lebanon , KY",Kentucky
Kai James,6-4,C,Dwyer,"Palm Beach Gardens , FL",Florida State
Stephanie Mavunga,6-2,F,Brownsburg,"Brownsburg , IN",North Carolina
Taya Reimer,6-2,F,Hamilton Southeastern,"Indianapolis , IN",Notre Dame
Ieshia Small,6-0,G,Florida High,"Tallahassee , FL",Baylor
Ronni Williams,6-0,F,Atlantic,"Port Orange , FL",Florida
