Year,Title,Role
1998,Dark City,May
1999,The Limey,Jennifer Jenny Wilson
2001,Sugar & Spice,Cleo Miller
2001,Mulholland Drive,Camilla Rhodes
2001,New Port South,Amanda
2003,Down with Love,Elkie
2005,The Amityville Horror,Kathy Lutz
2005,Derailed,Deanna Schine
2006,Turistas,Pru Stagler
2007,Music Within,Christine
2007,WΔZ,Helen Westcott
2007,30 Days of Night,Stella Oleson
2008,The Betrayed,Jamie
2009,Devil 's Eye,Melissa
2009,Triangle,Jess
2011,A Lonely Place to Die,Alison
2011,Swinging with the Finkels,Janet
2012,Between Us,Sharyl
2013,Felony,Julie Toohey
2017,The Butterfly Tree,Evelyn
