Rank,Country,Team,Time
1,Romania,Cristina Pomacu Lidia Simon Nuta Olaru,3:27:40
2,Kenya,Tegla Loroupe Joyce Chepchumba Delilah Asiago,3:27:57
3,Japan,Mari Sotani Noriko Geji Hiromi Katayama,3:31:38
4,Russia,Lyudmila Petrova Svetlana Zakharova Viktoria Nenasheva,3:31:45
5,Germany,Katrin Heinig Petra Wassiluk Iris Biba,3:32:16
6,Spain,Rocío Ríos Mónica Pont María Luisa Muñoz,3:36:23
7,Ethiopia,Kore Alemu Eyerusalem Kuma Abebe Tola,3:37:48
8,Italy,Lucilla Andreucci Laura Fogli Sonia Maccioni,3:39:22
9,France,Christine Mallo Line Kuster Simone Kuster,3:40:27
10,Great Britain,Angela Joiner Sally Goldsmith Amanda Wright-Allen,3:43:13
11,United States,Katrina Price Jenny Crain Maria Trujillo,3:43:20
12,Belarus,Yelena Makolova Galina Karnatsevich/Baruk Natalya Galushko,3:43:51
13,Ukraine,Yelena Plastinina Tatyana Glazyr Nina Korvryzkina,3:45:00
14,Slovakia,Ludmila Melicherová Dana Janecková Alena Mocariová,3:52:32
-,South Africa,Lydia Mafula Alta Lohann Elana Meyer,DNF
