City,Province/Territory,Building,Height,Floors
Toronto,Ontario,The One *,"306.8 m ( 1,007 ft )",83
Edmonton,Alberta,Stantec Tower,250.8 m ( 823 ft ),66
Calgary,Alberta,Brookfield Place East,247 m ( 810 ft ),56
Montreal **,Quebec,1250 René-Lévesque,226.5 m ( 743 ft ),47
Mississauga,Ontario,M City Tower 1 *,201 m ( 659 ft ),56
Vancouver **,British Columbia,Living Shangri-La,200.9 m ( 659 ft ),59
Burnaby,British Columbia,Altus,187.8 m ( 616 ft ),49
New Westminster,British Columbia,660 Quayside One *,178 m ( 584 ft ),53
Niagara Falls,Ontario,Hilton Niagara Falls Tower 2,177.1 m ( 581 ft ),53
Surrey,British Columbia,3 Civic Plaza,157.3 m ( 516 ft ),54
Ottawa **,Ontario,Claridge Icon *,143 m ( 469 ft ),45
Hamilton,Ontario,Landmark Place,130 m ( 427 ft ),43
Coquitlam,British Columbia,MThree,129.8 m ( 426 ft ),42
Winnipeg,Manitoba,201 Portage,128.0 m ( 420 ft ),33
Quebec City,Quebec,Édifice Marie-Guyart,126.5 m ( 415 ft ) ( 176.5 m ( 579 ft ) tip ),33
Gatineau,Quebec,Terrasses de la Chaudière,124 m ( 407 ft ),29
Vaughan,Ontario,Expo Condos II,117.64 m ( 386 ft ),37
London,Ontario,One London Place,113.4 m ( 372 ft ),24
Windsor,Ontario,Augustus Tower,111 m ( 364 ft ),27
Markham,Ontario,World on Yonge Tower I,105.5 m ( 346 ft ),32
