City served,ICAO,Airport name
Agadez,DRZA,Mano Dayak International Airport
Arlit,DRZL,Arlit Airport
Diffa,DRZF,Diffa Airport
Dirkou,DRZD,Dirkou Airport
Dogondoutchi,DRRC,Dogondoutchi Airport
Dosso,DRRD,Dosso Airport
Gaya,DRRG,Gaya Airport
Goure,DRZG,Goure Airport
Iferouane,DRZI,Iferouane Airport
La Tapoa,DRRP,La Tapoa Airport
Maine-Soroa,DRZM,Maine-Soroa Airport
Maradi,DRRM,Maradi Airport
Niamey,DRRN,Diori Hamani International Airport
Ouallam,DRRU,Ouallam Airport
Tahoua,DRRT,Tahoua Airport
Téra,DRRE,Téra Airport
Tessaoua,DRRA,Tessaoua Airport
Tillabery,DRRL,Tillabery Airport
Zinder,DRZR,Zinder Airport
