Opponent,S,Occurrences,GP,Rec,%
Washington Capitals,11,"1991 , 1992 , 1994 , 1995 , 1996 , 2000 , 2001 , 2009 , 2016 , 2017 , 2018",68,9-2,.818
New York Rangers,7,"1989 , 1992 , 1996 , 2008 , 2014 , 2015 , 2016",37,5-2,.714
Philadelphia Flyers,7,"1989 , 1997 , 2000 , 2008 , 2009 , 2012 , 2018",41,3-4,.429
Ottawa Senators,5,"2007 , 2008 , 2010 , 2013 , 2017",27,4-1,.800
New Jersey Devils,5,"1991 , 1993 , 1995 , 1999 , 2001",29,3-2,.600
Boston Bruins,5,"1979 , 1980 , 1991 , 1992 , 2013",23,2-3,.400
New York Islanders,5,"1975 , 1982 , 1993 , 2013 , 2019",29,1-4,.200
St. Louis Blues,3,"1970 , 1975 , 1981",13,1-2,.333
Toronto Maple Leafs,3,"1976 , 1977 , 1999",12,0-3,.000
Buffalo Sabres,2,"1979 , 2001",10,2-0,1.000
Columbus Blue Jackets,2,"2014 , 2017",11,2-0,1.000
Chicago Blackhawks,2,"1972 , 1992",8,1-1,.500
Detroit Red Wings,2,"2008 , 2009",13,1-1,.500
Tampa Bay Lightning,2,"2011 , 2016",14,1-1,.500
Montreal Canadiens,2,"1998 , 2010",13,0-2,.000
California Golden Seals,1,1970,4,1-0,1.000
Carolina Hurricanes,1,2009,4,1-0,1.000
Dallas Stars,1,1991,6,1-0,1.000
Nashville Predators,1,2017,6,1-0,1.000
San Jose Sharks,1,2016,6,1-0,1.000
