AVE- No,Name,Country,Highest mountain,Height ( m )
25,Rätikon,Switzerland Austria Liechtenstein,Schesaplana,"2,964"
26,Silvretta Alps,Switzerland Austria,Piz Linard,"3,411"
27,Samnaun Alps,Austria Switzerland,Muttler,"3,294"
28,Verwall Alps,Austria,Hoher Riffler,"3,168"
29,Sesvenna Alps,Switzerland Italy Austria,Piz Sesvenna,"3,204"
30,Ötztal Alps,Austria Italy,Wildspitze,"3,768"
31,Stubai Alps,Austria Italy,Zuckerhütl,"3,507"
32,Sarntal Alps,Italy,Hirzer,"2,781"
33,Tux Alps,Austria,Lizumer Reckner,"2,884"
34,Kitzbühel Alps,Austria,Kreuzjoch,"2,558"
35,Zillertal Alps,Austria,Hochfeiler,"3,510"
36,Venediger Group,Austria,Großvenediger,"3,666"
37,Rieserferner Group,Italy Austria,Hochgall,"3,436"
38,Villgraten Mountains,Austria Italy,Weiße Spitze,"2,962"
39,Granatspitze Group,Austria,Großer Muntanitz,"3,232"
40,Glockner Group,Austria,Großglockner,"3,798"
41,Schober Group,Austria,Petzeck,"3,283"
42,Goldberg Group,Austria,Hocharn,"3,254"
43,Kreuzeck Group,Austria,Mölltaler Polinik,"2,784"
44,Ankogel Group,Austria,Hochalmspitze,"3,360"
