Name,Hometown,Elimination
LV Revanth,Hyderabad,Winner
Khuda Baksh,Punjab,Runner-up
PVNS Rohit,Hyderabad,2nd Runner-up
Malvika Sunder,Chennai,Eliminated 11th
Mohit Chopra,New Delhi,Eliminated 10th
Manya Narang,New Delhi,Eliminated 9th
Hardeep Singh,Ludhiana,Eliminated 8th
R P Shravan,Chennai,Eliminated 7th
Tajinder Singh,Faridabad,Eliminated 6th
Jeli Kayi,Itanagar,Eliminated 5th
Bharti Gupta,Ghaziabad,Eliminated 4th
Mansi Bhardwaj,Kolkata,Eliminated 3rd
Stuti Tiwari,Kolkata,Eliminated 2nd
Saumya Mishra,Renukut,Eliminated 1st
