Year,Title,Role,Notes
1997,The Member of the Wedding,Frankie Adams,Television film
2007,Bury My Heart at Wounded Knee,Elaine Goodale,Television film
2008-2014,True Blood,Sookie Stackhouse,80 episodes
2009,The Courageous Heart of Irena Sendler,Irena Sendler,Television film
2011,Phineas and Ferb,Kristen ( voice ),Episode : The Curse of Candace
2013,Susanna,Katie,6 episodes
2016,Roots,Nancy Holt,Episode : Part 4
2017,Bellevue,Annie Ryder,8 episodes
2017,Alias Grace,Nancy Montgomery,Miniseries ; 5 episodes
2017,Philip K. Dick 's Electric Dreams,Sarah,Episode : Real Life
2019,Flack,Robyn,6 episodes
2019,The Affair,Joanie Lockhart,
