Project,Mode,Completed
Kingsgrove to Revesby quadruplication ( Rail Clearways Program ),Suburban rail,April 2013
Liverpool Turnback ( Rail Clearways Program ),Suburban rail,January 2014
Lilyfield - Dulwich Hill Light Rail Extension,Light rail,March 2014
Monorail Removal Project,Monorail,April 2014
Auburn stabling sidings,Suburban rail,September 2014
Opal Card rollout,Electronic ticketing,December 2014
South West Rail Link,Suburban rail,February 2015
Gosford passing loops ( Northern Sydney Freight Corridor Program ),Freight rail,February 2015
North Strathfield underpass ( Northern Sydney Freight Corridor Program ),Freight rail,June 2015
Epping to Thornleigh triplication ( Northern Sydney Freight Corridor Program ),Freight rail,June 2016
Wynyard Walk,Pedestrian,September 2016
Newcastle Light Rail,Light rail,February 2019
Sydney Metro Northwest,Rapid transit,May 2019
