US,CAN,Single,Artist
-,18,All She Wants,Rena Gaile
-,4,All the Way,Jason McCoy
-,5,Ancient History,Prairie Oyster
-,1,Anita Got Married,Duane Steele
-,1,Candle,Jason McCoy
-,10,Cloud of Dust,Rena Gaile
-,1,Cornfields or Cadillacs,Farmer 's Daughter
-,1,Crank My Tractor,Michelle Wright
-,20,A Fine Line,Lawnie Wallace
-,10,Foolproof,Desert Dolphins
-,18,Forty Days and Nights,The Rankin Family
28,7,Home Ai n't where His Heart Is ( Anymore ),Shania Twain
2,1,I Do,Paul Brandt
-,4,I Waited,Chris Cummings
8,1,If I Were You,Terri Clark
1,1,( If You 're Not in It for Love ) I 'm Outta Here !,Shania Twain
-,1,It 's Lonely I Ca n't Stand,Charlie Major
-,3,Keep Me Rockin ',Patricia Conroy
-,13,Love Music Loves to Dance,Calvin Wiggett
5,1,My Heart Has a History,Paul Brandt
