Club,Winners,Runners-up,Winning Years
Shamrock Rovers,25,9,"1925 , 1929 , 1930 , 1931 , 1932 , 1933 , 1936 , 1940 , 1944 , 1945 , 1948 , 1955 , 1956 , 1962 , 1964 , 1965 , 1966 , 1967 , 1968 , 1969 , 1978 , 1985 , 1986 , 1987 , 2019"
Dundalk,11,7,"1942 , 1949 , 1952 , 1958 , 1977 , 1979 , 1981 , 1988 , 2002 , 2015 , 2018"
Shelbourne,7,11,"1939 , 1960 , 1963 , 1993 , 1996 , 1997 , 2000"
Bohemians,7,7,"1928 , 1935 , 1970 , 1976 , 1992 , 2001 , 2008"
Sligo Rovers,5,6,"1983 , 1994 , 2010 , 2011 , 2013"
Derry City,5,5,"1989 , 1995 , 2002 , 2006 , 2012"
Drumcondra,5,4,"1927 , 1943 , 1946 , 1954 , 1957"
St. Patrick 's Athletic,3,8,"1959 , 1961 , 2014"
Cork City,4,4,"1998 , 2007 , 2016 , 2017"
Waterford United,2,7,"1937 , 1980"
Cork Athletic,2,3,"1951 , 1953"
Limerick,2,3,"1971 , 1982"
Cork/Fordsons,2,2,"1926 , 1934"
Cork Hibernians,2,2,"1972 , 1973"
Cork United,2,2,"1941 , 1947"
Longford Town,2,2,"2003 , 2004"
St. James 's Gate,2,2,"1922 , 1938"
Bray Wanderers,2,-,"1990 , 1999"
Drogheda United,1,3,2005
Finn Harps,1,1,1974
