Title,Developer ( s ),Publisher ( s ),Release Date,ESRB
Donkey Kong,Nintendo,Nintendo,"November 19 , 2006",E
Mario Bros,Nintendo,Nintendo,"November 19 , 2006",E
Pinball,Nintendo,Nintendo,"November 19 , 2006",E
Soccer,Intelligent Systems,Nintendo,"November 19 , 2006",E
Solomon 's Key,Tecmo,Tecmo,"November 19 , 2006",E
The Legend of Zelda,Nintendo,Nintendo,"November 19 , 2006",E
Wario 's Woods,Nintendo,Nintendo,"November 19 , 2006",E
Donkey Kong Jr,Nintendo,Nintendo,"December 4 , 2006",E
Ice Hockey,Nintendo,Nintendo,"December 11 , 2006",E
Tennis,Nintendo,Nintendo,"December 18 , 2006",E
Super Mario Bros,Nintendo,Nintendo,"December 25 , 2006",E
Baseball,Nintendo,Nintendo,"January 1 , 2007",E
Urban Champion,Nintendo,Nintendo,"January 1 , 2007",E
Gradius,Konami,Konami,"January 8 , 2007",E
Xevious,Namco,Namco,"January 15 , 2007",E
Ice Climber,Nintendo,Nintendo,"February 12 , 2007",E
Kid Icarus,"Nintendo , TOSE",Nintendo,"February 12 , 2007",E
Kirby 's Adventure,HAL Laboratory,Nintendo,"February 12 , 2007",E
The Legend of Kage,Taito,Taito,"February 19 , 2007",E
Elevator Action,Micronics,Taito,"March 5 , 2007",E
