#,Year,Ring name ( Real name ),Inducted by,Inducted for
1,1995,Stu Hart,N/A,Wrestling and Promoting
2,1995,Jack Taylor,N/A,Wrestling
3,1995,Al Mr . Murder Mills ( Adolph Mittlestadt ),N/A,Wrestling
4,1995,Lou Thesz ( Aloysius Thesz ),N/A,Wrestling
5,1995,Jim Riot Call Wright ( James Wright ),N/A,Wrestling
6,1995,Rube Wright ( Reuben Wright ),N/A,Wrestling
7,1995,Pat McGill ( Patrick McGill ),N/A,Wrestling
8,1995,Sky Hi Lee ( Robert Leedy ),N/A,Wrestling
9,1995,Luther Lindsay ( Luther Goodall ),N/A,Wrestling
10,1995,Dr. Bill Miller ( William Miller ),N/A,Wrestling
11,1995,Whipper Billy Watson ( William Potts ),N/A,Wrestling
12,1995,Chief Thunderbird ( Jean Baptiste Paul ),N/A,Wrestling
13,1995,Earl McCready,N/A,Wrestling
14,1995,Pat O'Connor ( Patrick O'Connor ),N/A,Wrestling
15,1995,Ilio DiPaolo,N/A,Wrestling
16,1995,Édouard Carpentier ( Édouard Weiczorkiewicz ),N/A,Wrestling
17,1995,Gorgeous George ( George Wagner ),N/A,Wrestling
18,1995,Argentina Rocca ( Antonino Biasetton ),N/A,Wrestling
19,1995,Killer Kowalski ( Edward Spulnik ),N/A,Wrestling
20,1995,Czaya Nandor,N/A,Wrestling
