Rank,City,Province,Population 2010 Census,City Birthday,Area ( km )
1,Medan,North Sumatra,"2,109,339",1 July 1590,265.10
2,Palembang,South Sumatra,"1,452,840",17 June 1683,374.03
3,Batam,Riau Islands,"1,153,860",18 December 1829,715.0
4,Pekanbaru,Riau,"903,902",23 June 1784,633.01
5,Bandar Lampung,Lampung,"879,851",17 June 1682,169.21
6,Padang,West Sumatra,"833,584",7 August 1669,694.96
7,Jambi,Jambi,"529,118",17 May 1946,205.00
8,Bengkulu,Bengkulu,"300,359",18 March 1719,144.52
9,Dumai,Riau,"254,332",20 April 1999,"2,039.35"
10,Binjai,North Sumatra,"246,010",,90.24
11,Pematang Siantar,North Sumatra,"234,885",24 April 1871,60.52
12,Banda Aceh,Aceh,"224,209",22 April 1205,61.36
13,Lubuklinggau,South Sumatra,"201,217",17 August 2001,419.80
