Team,City,Stadium,Capacity,Field
Alfonso Ugarte,Puno,Enrique Torres Belón,"20,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
ADT,Tarma,Unión Tarma,"9,000",Grass
Atlético Chalaco,Callao,Miguel Grau,"15,000",Grass
Atlético Torino,Talara,Campeonísimo,"8,000",Grass
Carlos A. Mannucci,Trujillo,Mansiche,"24,000",Grass
Cienciano,Cuzco,Garcilaso,"42,056",Grass
CNI,Iquitos,Max Augustín,"24,000",Grass
Coronel Bolognesi,Tacna,Jorge Basadre,"19,850",Grass
Defensor ANDA,Aucayacu,Municipal de Aucayacu,"5,000",Grass
Diablos Rojos,Juliaca,Enrique Torres Belón,"20,000",Grass
Deportivo Hospital,Pucallpa,Aliardo Soria Pérez,"15,000",Grass
Deportivo Municipal,Lima,Nacional,"45,750",Grass
Hostal Rey,Chanchamayo,Municipal de Chanchamayo,"5,000",Grass
Huancayo,Huancayo,Huancayo,"20,000",Grass
José Gálvez,Chimbote,Manuel Rivera Sanchez,"25,000",Grass
Juventud La Palma,Huacho,Segundo Aranda Torres,"12,000",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
Octavio Espinosa,Ica,José Picasso Peratta,"8,000",Grass
Sport Boys,Callao,Miguel Grau,"15,000",Grass
