Number,Player,Position,Previous Club
2,Paul Johnson,RW,Bradford Bulls
4,Matt King,LC,Melbourne Storm
5,Kevin Penny,LW,Warrington Wolves
6,Lee Briers,SO,St. Helens
7,Michael Monaghan,SH,Manly Sea Eagles
8,Adrian Morley,PR,Sydney Roosters
9,Jon Clarke,HK,London Broncos
10,Paul Rauhihi,PR,North Queensland Cowboys
11,Louis Anderson,SR,New Zealand Warriors
12,Ben Westwood,SR,Wakefield Trinity Wildcats
13,Vinnie Anderson,LF,St. Helens
14,Mickey Higham,HK,Wigan Warriors
15,Paul Wood,PR,Warrington Wolves
16,Garreth Carvell,PR,Bradford Bulls
17,Steve Pickersgill,PR,Warrington Wolves
18,Mike Cooper,SR,Warrington Wolves
19,Chris Riley,LW,Warrington Wolves
20,Simon Grix,SO,Halifax
21,Matty Blythe,LC,Warrington Wolves
22,Lee Mitchell,SR,Warrington Wolves
