Location,Call sign,Frequency,Brand Name
"Albuquerque , New Mexico",KDRF,103.3 FM,Ed FM
"Anchorage , Alaska",KBBO-FM,92.1 FM,BOB FM
"Auburn , Alabama",WQNR,99.9 FM,Kate FM
"Austin , Texas",KBPA,103.5 FM,Bob FM
"Bad Axe , Michigan",WLEW-FM,102.1 FM,Cruise 102.1
"Baltimore , Maryland",WQSR,102.7 FM,Jack FM
"Bloomington-Normal , Illinois",WBBE,97.9 FM,Bob FM
"Boise , Idaho",KSRV-FM,96.1 FM,Bob FM
"Bowling Green , Kentucky",WKLX,100.7 FM,Sam FM
"Buffalo , New York",WBUF,92.9 FM,Jack FM
"Calabash , North Carolina",WYNA,104.9 FM,Bob FM
"Cape Cod , Massachusetts",WFRQ,93.5 FM,Frank FM
"Cedar Rapids , Iowa",KZIA-HD2,95.1 FM,Rob FM
"Charleston , South Carolina",WAVF,101.7 FM,Chuck FM
"Charlotte , North Carolina",WLKO,102.9 FM,The Lake
"Chico , California",KBQB,92.7 FM,Bob FM
"Cleveland , Ohio",WHLK,106.5 FM,The Lake
"Clinton , Iowa",KMCN,94.7 FM,Mac FM
"Columbia , Missouri",KWJK,93.1 FM,Jack FM
"Columbia , South Carolina",WLTY,96.7 FM,Steve FM
