Date,Co-Hosts,Guests/Segments
November 1,Regis Philbin & Kelly Ripa,"Tim Allen , Jerry Springer"
November 2,Regis Philbin & Kelly Ripa,"Denzel Washington , Jeff Gordon , Adewale Akinnuoye-Agbaje"
November 3,Regis Philbin & Kelly Ripa,"Madonna , Chevy Chase , Gretchen Wilson"
November 6,Regis Philbin & Kelly Ripa,"Sacha Baron Cohen , Sting"
November 7,Regis Philbin & Kelly Ripa,Russell Crowe
November 8,Regis Philbin & Kelly Ripa,"Will Ferrell , David James Elliott , a preview of Regis ' appearance on Jeopardy !"
November 9,Regis Philbin & Kelly Ripa,"Dustin Hoffman , John O'Hurley , Kelly takes a turn as a weather forecaster"
November 10,Regis Philbin & Kelly Ripa,"Josh Groban , Howie Mandel , John Leguizamo"
November 13,Regis Philbin & Kelly Ripa,"Julia Louis-Dreyfus , Christian Slater , Thanks-for-Giving Dream Team Ambush Makeover Week"
November 14,Regis Philbin & Kelly Ripa,"Emilio Estevez , Terrell Owens , Thanks-for-Giving Dream Team Ambush Makeover Week"
November 15,Regis Philbin & Kelly Ripa,"Penélope Cruz , Taye Diggs , Thanks-for-Giving Dream Team Ambush Makeover Week"
November 16,Regis Philbin & Kelly Ripa,"Julianne Moore , Daniel Craig , Thanks-for-Giving Dream Team Ambush Makeover Week"
November 17,Kelly Ripa & Clay Aiken,"Dancing with the Stars winners , Thanks-for-Giving Dream Team Ambush Makeover Week"
November 20,Regis Philbin & Kelly Ripa,"Val Kilmer , Noah Wyle"
November 21,Regis Philbin & Kelly Ripa,"Morgan Freeman , Rachel Weisz , crafts for kids"
November 22,Regis Philbin & Kelly Ripa,"Kristin Davis , Chris Daughtry , Regis gets a flu shot"
November 24,Regis Philbin & Kelly Ripa,"Wilmer Valderrama , Jimmie Johnson , Ricky Martin"
November 27,Regis Philbin & Kelly Ripa,"Kyle Chandler , Lucy Liu"
November 28,Regis Philbin & Kelly Ripa,"Jude Law , Prince Lorenzo Borghese"
November 29,Regis Philbin & Kelly Ripa,"Dan Rather , Carson Kressley"
