Rank,Athlete,Nationality,Time
1,Lucien Theys,Belgium,45:42
2,Alain Mimoun,France,45:50
3,Mohamed Hamza,France,46:00
4,Frank Aaron,England,46:09
5,Marcel Vandewattyne,Belgium,46:10
6,Buenaventura Baldoma,Spain,46:32
7,Alec Olney,England,46:35
8,Roger Petitjean,France,46:38
9,André Nollet,France,46:42
10,Mohamed Brahim,France,46:45
11,Charles Cérou,France,46:50
12,John Doms,Belgium,46:53
13,René Tessier,France,47:07
14,Geoff Saunders,England,47:09
15,Maurits van Laere,Belgium,47:11
16,August Sutter,Switzerland,47:12
17,Len Eyre,England,47:15
18,Reg Gosney,England,47:20
19,Pedro Sierra,Spain,47:23
20,Frans Herman,Belgium,47:34
