#,Name,Net worth ( USD ),Origin,Residence
1,Carlos Slim,$ 67.1 billion,Lebanon,Mexico
2,Joseph Safra,$ 17.4 billion,Lebanon,Brazil
3,Gilbert Chagoury,$ 7.4 billion,Lebanon,Nigeria
4,Nicolas Hayek and Family,$ 4.1 billion,Lebanon,Switzerland
5,Robert Naify,$ 4.0 billion,Lebanon,United States
6,Issam Fares,$ 3.5 billion,Lebanon,Lebanon
7,Tom Gores,$ 3.3 billion,Lebanon,United States
8,Tony Fadell,$ 3.2 billion,Lebanon,United States
9,David Nahmad,$ 3.0 billion,Lebanon,Monaco
10,Richard Rainwater,$ 2.8 billion,Lebanon,United States
11,Moise Safra,$ 2.4 billion,Lebanon,Brazil
12,Alvaro Saieh,$ 2.4 billion,Lebanon,Chile
13,Alec Gores,$ 2.1 billion,Lebanon,United States
14,Manuel Moroun,$ 2 billion,Lebanon,United States
15,Daher brothers,$ 1.6 billion,Lebanon,Lebanon
16,Alfredo Harp Helu,$ 1.5 billion,Lebanon,Mexico
17,Ezra Nahmad,$ 1.5 billion,Lebanon,Monaco
18,Joe Jamail,$ 1.5 billion,Lebanon,United States
19,Robert Mouawad,$ 1.5 billion,Lebanon,Switzerland
20,Maloof family,$ 1.3 billion,Lebanon,United States
