No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 56.0 billion,51,United States,Microsoft
2,Warren Buffett,$ 52.0 billion,76,United States,Berkshire Hathaway
3,Carlos Slim,$ 49.0 billion,67,Mexico,"América Móvil , Grupo Carso"
4,Ingvar Kamprad,$ 33.0 billion,80,Sweden,IKEA
5,Lakshmi Mittal,$ 32.0 billion,56,India,Arcelor Mittal
6,Sheldon Adelson,$ 26.5 billion,73,United States,Las Vegas Sands
7,Bernard Arnault,$ 26.0 billion,58,France,LVMH
8,Amancio Ortega,$ 24.0 billion,71,Spain,Inditex Group
9,Li Ka-shing,$ 23.0 billion,78,Hong Kong,"Cheung Kong Holdings , Hutchison Whampoa"
10,David Thomson,$ 22.0 billion,49,Canada,Thomson Corporation
