Year,Winner,Nominees
2003,Shania Twain,Celine Dion Diana Krall Avril Lavigne Nickelback
2004,Nickelback,Celine Dion Avril Lavigne Sarah McLachlan Shania Twain
2005,Avril Lavigne,Diana Krall Sarah McLachlan Marie-Élaine Thibert Shania Twain
2006,Simple Plan,Celine Dion Diana Krall Michael Bublé Nickelback
2007,Nelly Furtado,Gregory Charles Michael Bublé Nickelback Sarah McLachlan
2008,Michael Bublé,Celine Dion Claude Dubois Nelly Furtado Avril Lavigne
2009,Nickelback,Celine Dion Feist Hedley The Lost Fingers
2010,Michael Bublé,Ginette Reno Johnny Reid Maxime Landry Nickelback
2011,Justin Bieber,Drake Hedley Johnny Reid Michael Bublé
2012,Justin Bieber,Arcade Fire Avril Lavigne City and Colour deadmau5 Drake Ginette Reno Hedley Michael Bublé Nickelback
2013,Justin Bieber,Michael Bublé Leonard Cohen Céline Dion Drake Hedley Carly Rae Jepsen Marianas Trench Metric Nickelback
2014,Justin Bieber,Arcade Fire Michael Bublé Celine Dion Drake Hedley Avril Lavigne Serena Ryder Robin Thicke Walk off the Earth
2015,Michael Bublé,Arcade Fire Bobby Bazini Drake Hedley Leonard Cohen Magic ! Nickelback Serge Fiori You+Me
2016,Justin Bieber,Alessia Cara Carly Rae Jepsen Cœur de pirate Dean Brody Drake Shawn Hook Shawn Mendes The Weeknd Walk off the Earth
2017,Shawn Mendes,Alessia Cara Belly Drake Hedley Justin Bieber Ruth B The Strumbellas The Weeknd Tory Lanez
2018,Shawn Mendes,Alessia Cara Arkells Jessie Reyez Justin Bieber Shawn Hook The Weeknd Theory Walk Off The Earth
2019,Avril Lavigne,bülow Alessia Cara Elijah Woods x Jamie Fine Killy Loud Luxury Shawn Mendes NAV Tory Lanez The Weeknd
