Subject,Unveiling,Notability,Sculptor,Donator,Location
Hercules,1892,Roman god,,WA Horn,Pennington Gardens
Ross Smith,1892,Aviator,Frederick Brook Hitch,,Creswell Gardens
Donald Bradman,2002,Cricketer,Robert Hannaford,,East Gate
Jason Gillespie,2010,Cricketer,Ken Martin,Basil Sellers,SACA members reserve
Darren Lehmann,2012,Cricketer,Ken Martin,Basil Sellers,SACA members reserve
Barrie Robran,2014,Australian rules footballer,,Basil Sellers,South Gate
George Giffen,2014,Cricketer,Judith Rolevink,Basil Sellers,
Russell Ebert,2015,Australian rules footballer,,Basil Sellers,East Gate
Malcolm Blight,2016,Australian rules footballer,,Basil Sellers,South East concourse
Ken Farmer,2017,Australian rules footballer,,Basil Sellers,North West gate
Clem Hill,2018,Cricketer,Silvio Appunyi,Basil Sellers,South Gate
