Rank,Name,Nation,TFP,SP,FS
1,Danielle Hartsell / Steve Hartsell,United States,3.0,4,1
2,Maria Petrova / Teimuraz Pulin,Russia,3.0,2,2
3,Victoria Maxiuta / Vladislav Zhovnirski,Russia,3.5,1,3
4,Sabrina Lefrançois / Nicolas Osseland,France,6.5,5,4
5,Evgenia Filonenko / Igor Marchenko,Ukraine,6.5,3,5
6,Natalie Vlandis / Jered Guzman,United States,9.5,7,6
7,Olena Bilousivska / Stanislav Morozov,Ukraine,10.0,6,7
8,Marsha Poluliaschenko / Andrew Seabrook,United Kingdom,13.5,9,8
9,Alexandra Roger / Vivien Rolland,France,14.0,10,9
10,Marni Wade / Lenny Faustino,Canada,14.0,8,10
11,Alena Maltseva / Oleg Popov,Russia,17.0,12,11
12,Carissa Guild / Andrew Muldoon,United States,18.5,13,12
13,Johanna Otto / Robin Szolkowy,Germany,19.5,11,14
14,Pang Qing / Tong Jian,China,20.0,14,13
15,Irina Mladenova / Stoian Kazakov,Bulgaria,23.5,15,16
16,Irina Galkina / Artem Knyazev,Uzbekistan,24.0,18,15
17,Veronika Ruzkova / Marek Sedelmajer,Czech Republic,25.0,16,17
18,Ekaterina Nekrassova / Valdis Mintals,Estonia,26.5,17,18
