League,Location,Country,Admitted
Auld Reekie Roller Girls,Edinburgh,Scotland,June 2010
Basingstoke Bullets Roller Derby,"Basingstoke , Hampshire",England,October 2014
Bath Roller Derby Girls,"Bath , Somerset",England,May 2015
Belfast Roller Derby,Belfast,Northern Ireland,26 May 2012
Big Bucks High Rollers,"High Wycombe , Buckinghamshire",England,17 September 2012
Birmingham Blitz Dames,"Birmingham , West Midlands",England,June 2010
Brighton Rockers Roller Derby,"Brighton , East Sussex",England,3 March 2012
Bristol Roller Derby,Bristol,England,14 December 2012
Central City Rollergirls,"Birmingham , West Midlands",England,June 2010
Crash Test Brummies,"Birmingham , West Midlands",England,7 December 2012
Dolly Rockit Rollers,"Leicester , Leicestershire",England,13 September 2011
Dundee Roller Girls,Dundee,Scotland,2013
Glasgow Roller Girls,Glasgow,Scotland,June 2010
Granite City Roller Derby,Aberdeen,Scotland,2010
Halifax Bruising Banditas,"Halifax , West Yorkshire",England,
Haunted City Rollers,"Derby , Derbyshire",England,28 November 2012
Hellfire Harlots,"Nottingham , Nottinghamshire",England,2011
Hot Wheel Roller Derby,"Leeds , West Yorkshire",England,2013
Hulls Angels Roller Dames,"Kingston-upon-Hull , East Riding of Yorkshire",England,5 October 2012
Kent Roller Girls,"Herne Bay and Chatham , Kent",England,6 January 2012
