Rank,Name,Nation,Total Points,SP,FS
1,Mutsumi Takayama,Japan,140.82,1,1
2,Kerstin Frank,Austria,126.96,4,3
3,Isabelle Pieman,Belgium,124.42,3,4
4,Yuki Nishino,Japan,122.19,9,2
5,Victoria Muniz,Puerto Rico,118.47,5,5
6,Isabel Drescher,Germany,113.35,2,8
7,Karolina Sykorova,Slovakia,111.11,7,6
8,Nicole Graf,Switzerland,108.64,6,9
9,Ivana Reitmayerová,Slovakia,105.57,10,7
10,Irina Movchan,Ukraine,89.13,12,11
11,Barbora Svedova,Czech Republic,87.75,13,10
12,Andrea Kreuzer,Austria,87.27,11,12
13,Olga Ikonnikova,Estonia,81.77,8,14
14,Maria Papasotiriou,Greece,76.07,14,13
WD,Alexandra Kunova,Slovakia,,,
