,Date,Race,Country,Winner,Team
# 1,29 March,Trofeo Alfredo Binda-Comune di Cittiglio,Italy,Marianne Vos ( NED ),DSB Bank-Nederland bloeit
# 2,5 April,Tour of Flanders for Women,Belgium,Ina-Yoko Teutenberg ( GER ),Team Columbia-High Road Women
# 3,13 April,Ronde van Drenthe,Netherlands,Emma Johansson ( SWE ),Red Sun
# 4,22 April,La Flèche Wallonne Féminine,Belgium,Marianne Vos ( NED ),DSB Bank-Nederland bloeit
# 5,10 May,Tour de Berne,Switzerland,Kristin Armstrong ( USA ),Cervélo TestTeam
# 6,30 May,La Coupe du Monde Cycliste Féminine de Montréal,Canada,Emma Pooley ( GBR ),Cervélo TestTeam
# 7,31 July,Open de Suède Vårgårda TTT,Sweden,Kristin Armstrong ( USA ) Regina Bruins ( NED ) Carla Ryan ( AUS ) Christiane Soeder ( GER ) Kirsten Wild ( NED ) Sarah Düster ( GER ),Cervélo TestTeam
# 8,2 August,Open de Suède Vårgårda,Sweden,Marianne Vos ( NED ),DSB Bank-Nederland bloeit
# 9,22 August,GP de Plouay-Bretagne,France,Emma Pooley ( GBR ),Cervélo TestTeam
# 10,13 September,Rund um die Nürnberger Altstadt,Germany,Kirsten Wild ( NED ),Cervélo TestTeam
