Rank,Country,Team,Time
1,Romania,Iulia Negura Anuța Cătună Elena Fidatof,3:29:03 CR
2,Norway,Hilde Stavik Brynhild Synstnes Grete Kirkeberg,3:33:36
3,Japan,Mari Tanigawa Mineko Watanabe Yukari Komatsu,3:35:39
4,Portugal,Albertina Dias Manuela Dias Rosa Oliveira,3:35:42
5,Russia,Alla Zhilyayeva Klara Kashapova Nadezhda Ilyina,3:36:25
6,South Africa,Elana Meyer Grace de Oliveira Nicole Whiteford,3:36:50
7,Ethiopia,Fatuma Roba Fikirte Woldemichael Fantaye Sirak,3:38:42
8,Belarus,Natalya Galushko Yelena Mazovka Yelena Vinitskaya,3:39:34
9,Great Britain,Danielle Sanderson Angie Hulley Heather Heasman,3:40:38
10,France,Nicole Lévêque Christine Mallo Muriel Linsolas,3:40:54
11,Australia,Susan Mahony Heather Turland Lorraine Davis,3:42:55
12,United States,Ann Boyd Julie Petersen Jane Welzel,3:43:20
13,Kazakhstan,Garifa Kuku Natalya Sorokivskaya Yelena Mostovaya,3:43:31
14,Mexico,Lucía Rendón Ana Maria Mejía Emma Cabrera,3:43:47
15,Hungary,Kornélia Pásztor Márta Visnyei Éva Nagy,3:44:34
16,Sweden,Midde Hamrin Ingmarie Nilsson Maria Lundgren,3:47:04
17,Iceland,Martha Ernstdóttir Anna Cosser Hulda Pálsdóttir,4:02:35
