Recording or collection,Performer or agent,Year
Dream Melody Intermezzo : Naughty Marietta,Victor Herbert and his Orchestra,1911
Standing Rock Preservation Recordings,George Herzog and Members of the Yanktoni Tribe,1928
Lamento Borincano,written by Rafael Hernández Marín performed by Canario y Su Grupo ( including Davilita on lead vocals ),1930
Sitting on Top of the World,Mississippi Sheiks,1930
The Complete Beethoven Piano Sonatas,Artur Schnabel,1932-1935
If I Did n't Care,The Ink Spots,1939
Proceedings of the United Nations Conference on International Organization,,1945
Folk Songs of the Hills,Merle Travis,1946
How I Got Over,Clara Ward and the Ward Singers,1950
( We 're Gon na ) Rock Around the Clock,Bill Haley & His Comets,1954
Calypso,Harry Belafonte,1956
I Left My Heart in San Francisco,Tony Bennett,1962
My Girl,The Temptations,1964
King Biscuit Time,Sonny Boy Williamson II and others,1965
The Sound of Music soundtrack,Various,1965
Alice 's Restaurant Massacree,Arlo Guthrie,1967
New Sounds in Electronic Music,"Steve Reich , Richard Maxfield , Pauline Oliveros",1967
An Evening with Groucho,Groucho Marx,1972
Rumours,Fleetwood Mac,1977
The Gambler,Kenny Rogers,1978
