Round,Pick #,Overall,Name,Position,College
1,25,25,John Ward,Tackle,Oklahoma State
2,25,51,Bill Cappleman,Quarterback,Florida State
3,25,77,Chuck Burgoon,Linebacker,North Park
5,25,129,Greg Jones,Running back,UCLA
7,25,181,Hap Farber,Linebacker,Mississippi
8,25,207,Mike Carroll,Guard,Missouri
9,25,233,George Morrow,Defensive end,Mississippi
10,25,259,Stu Voigt,Tight end,Wisconsin
11,25,285,Godfrey Zaunbrecher,Center,Louisiana State
12,25,311,James Holland,Defensive back,Jackson State
13,25,337,Robert Pearce,Defensive back,Stephen F. Austin
14,25,363,Tommy Spinks,Wide receiver,Louisiana Tech
15,25,389,Bennie Francis,Defensive end,Chadron State
16,25,415,Bruce Cerone,Wide receiver,Emporia State
17,25,441,Brian Healy,Defensive back,Michigan
