Name,City/municipality,Province,Developer,Remarks
Best Emporium Megamall,Pagadian,Zamboanga del Sur,Best Emporium,
City Commercial Center,Pagadian,Zamboanga del Sur,City Government of Pagadian,Anchored by Robinsons Supermarket
CityMall Dipolog,Dipolog City,Zamboanga del Norte,DoubleDragon Properties,Anchored by SM Savemore
CityMall Guiwan,Zamboanga City,Zamboanga del Sur,DoubleDragon Properties,Anchored by Shop-O-Rama Supermarket
CityMall Tetuan-Zamboanga,Zamboanga City,Zamboanga del Sur,DoubleDragon Properties,"Anchored by Shop-O-Rama Supermarket , the first CityMall in Mindanao"
Gaisano Capital Pagadian,Pagadian,Zamboanga del Sur,Gaisano Capital,The first Gaisano mall in Zamboanga Peninsula ; presently the 3rd largest shopping mall in the region
Gloria de Dapitan Complex,Dapitan City,Zamboanga del Norte,Jalosjos Group of Companies,
KCC Mall de Zamboanga,Zamboanga City,Zamboanga del Sur,Koronadal Commercial Corp,"Zamboanga 's first nationally owned full scale mall ; KCC 's first mall outside Region XII , largest mall in the region"
Lee Plaza City Central,Dipolog City,Zamboanga del Norte,Dynamic Development Corp,Lee Plaza Group 's first mall outside Dumaguete City and Region VII
Yubenco Tetuan,Zamboanga City,Zamboanga del Sur,Megaland Corp,
SM Mindpro Zamboanga,Zamboanga City,Zamboanga del Sur,SM Prime Holdings,"In 2017 , SM Prime Holdings bought the mall . Renovations are underway"
Southway Square,Zamboanga City,Zamboanga del Sur,Z.C . Shop-o-rama Inc,
