Name,Nationality,Position,Dumbarton career,Appearances,Goals
Tom McMillan,Scotland,Half Back,1885-1895,111,6
Alex Miller,Scotland,Full/Half Back,1888-1897,117,2
John McLeod,Scotland,Goalkeeper,1889-1895,108,3
John Brander,Scotland,Inside Right,1905-1912,125,48
Bob Gordon,Scotland,Midfielder Full Back,1905-1911,122,11
Johnny Hill,Scotland,Outside Left,1905-1912,139,80
James Ferguson,Scotland,Outside Right,1906-1915,117,6
Finlay Speedie,Scotland,Half Back,1909-1920,133,40
John Rowan,Scotland,Centre Forward,1910-1920,145,76
John Miller,Scotland,Goalkeeper,1911-1921,228,0
James Riddell,Scotland,Half Back,1913-1919,117,9
Alexander Thom,Scotland,Outside Left,1913-1920,225,41
Bob McGrory,Scotland,Right Back,1914-1920,217,0
Pat Travers,Scotland,Midfielder/Forward,1914-1921,111,10
William Ritchie,Scotland,Outside Right,1915-1919,123,22
Thomas Raeside,Scotland,Half Back,1916-1920,110,4
Bob McDermid,Scotland,Inside Left,1918-1921,102,30
Harry Chatton,Ireland,Right Half Right Back,1920-1923 1931-1933,141,5
Henry Loney,Scotland,Half Back,1921-1924,113,7
Andrew Mair,Scotland,Left Half,1921-1928,187,12
