Rank,Country,Team,Time
1,Kenya,Moses Tanui Paul Yego Charles Tangus,3:05:21
2,Spain,Antonio Serrano Bartolomé Serrano Pablo Sierra Hermoso,3:07:51
3,Italy,Vincenzo Modica Danilo Goffi Giacomo Leone,3:08:31
4,Japan,Nobuyuki Sato Yoshifumi Miyamoto Masatoshi Ibata,3:08:44
5,Brazil,Delmir dos Santos André Ramos Vanderlei de Lima,3:09:34
6,Russia,Oleg Strizhakov Muhammed Nazipov Valeriy Fedotov,3:10:20
7,France,Philippe Rémond Abdi Djama Bertrand Frechard,3:11:40
8,Portugal,Joaquim Pinheiro António Rodrigues Arlindo Macedo,3:11:55
9,United States,Peter Weilenmann Bob Kempainen Joseph LeMay,3:11:56
10,Finland,Pasi Mattila Santtu Mäkinen Harri Hänninen,3:12:21
11,Ethiopia,Dagne Debela Lemma Bonsa Kidane Gebrmichael,3:12:37
12,South Africa,Josiah Thugwane Meck Mothuli Simon Mphulanyane,3:12:40
13,Denmark,Klaus-Peter Hansen Carsten Jørgensen Kaare Sørensen,3:13:12
14,Germany,Rainer Wachenbrunner Steffen Dittmann Thorsten Naumann,3:13:12
15,Netherlands,René Godlieb Gerard Kappert Peter van der Velden,3:16:01
16,Great Britain,Martin McLoughlin David Taylor Mark Flint,3:16:05
17,Algeria,Sid-Ali Sakhri Mahieddine Belhadj Khelil Benhalima,3:16:21
18,Ukraine,Sergey Romanchuk Viktor Rogovoy Viktor Korniyenko,3:17:05
19,Zimbabwe,Kingston Maringe Abel Chimukoko Bigboy Goromonzi,3:17:55
20,Slovenia,Roman Kejžar Igor Šalamun Mirko Vindiš,3:18:28
