Name,Alternate name,Ocean
Adriatic Abyssal Plain,( Adriatic Basin ),Mediterranean Sea
Agulhas Bank,( Agulhas Basin ),South Atlantic Ocean
Alaska Plain,"( Alaskan Abyssal Plain , Alaskan Plain )",North Pacific Ocean
Alborán Plain,( Alboran Abyssal Plain ),Alboran Sea ( Mediterranean Sea )
Aleutian Basin,"( Aleutskaya Kotlovina , Bering Abyssal Plain , Bering Basin , Bering Sea Basin )",North Pacific Ocean
Amerasian Basin,( Central Polar Basin ; consists of the Canada Basin and the Makarov Basin ),
Amundsen Basin,( Amundsen Basin ),Arctic Ocean
Amundsen Plain,( Amundsen Abyssal Plain ),Southern Ocean
Angola Plain,"( Angola Abyssal Plain , Angola Basin )",South Atlantic Ocean
Argentine Abyssal Plain,"( Argentine Plain , Argentine Basin )",South Atlantic Ocean
Atlantic-Indian Basin,,Indian Ocean
Balearic Abyssal Plain,,Mediterranean Sea
Baffin Basin,( Baffin Bay Basin ),North Atlantic Ocean
Barracuda Plain,( Barracuda Abyssal Plain ),North Atlantic Ocean
Bellingshausen Plain,( Bellingshausen Abyssal Plain ),Southern Ocean
Biscay Plain,( Biscay Abyssal Plain ),North Atlantic Ocean
Blake Basin,( Blake Abyssal Plain ),North Atlantic Ocean
Boreas Plain,( Boreas Abyssal Plain ),Arctic Ocean
Burdwood Abyssal Plain,,South Atlantic Ocean
