Name,Area,Established,Location
Agoo-Damortis,"10,513.30 ha ( 25,978.9 acres )",2000,La Union
Alburquerque-Loay-Loboc,"1,164.16 ha ( 2,876.7 acres )",1999,Bohol
Aliguay Island,"1,191.89 ha ( 2,945.2 acres )",1999,Zamboanga del Norte
Apo Island,"691.45 ha ( 1,708.6 acres )",1994,Negros Oriental
Baliangao,295.00 ha ( 729.0 acres ),2000,Misamis Occidental
Batanes,"213,578.00 ha ( 527,762.7 acres )",1994,Batanes
Biri Larosa,"33,492.00 ha ( 82,760.5 acres )",2000,Northern Samar
Cuatro Islas,"12,500.00 ha ( 30,888.2 acres )",2000,Leyte
Dumanquilas Bay,"25,948.00 ha ( 64,118.9 acres )",1999,Zamboanga del Sur
Great and Little Santa Cruz Islands,"1,877.00 ha ( 4,638.2 acres )",2000,Zamboanga del Sur
Guiuan,"60,448.00 ha ( 149,370.3 acres )",1994,Eastern Samar
Initao-Libertad,"1,300.78 ha ( 3,214.3 acres )",2002,Misamis Oriental
Mabini,"6,106.00 ha ( 15,088.3 acres )",2000,Compostela Valley
Malabungot,120.62 ha ( 298.1 acres ),2000,Camarines Sur
Malampaya Sound,"200,115.00 ha ( 494,494.9 acres )",2000,Palawan
Murcielagos Island,151.00 ha ( 373.1 acres ),2000,Zamboanga del Norte
Peñablanca,"118,781.58 ha ( 293,515.7 acres )",2003,Cagayan
Pujada Bay,"21,200.00 ha ( 52,386.3 acres )",1994,Davao Oriental
Selinog Island,"1,294.35 ha ( 3,198.4 acres )",2000,Zamboanga del Norte
Siargao Island,"278,914.13 ha ( 689,211.8 acres )",1996,Surigao del Norte
