Week,Tournament,State/Country,Winner
Mar 7-10,Jacob 's Creek Open Championship,Australia,Gavin Coles ( 1 )
Mar 14-17,Holden Clearwater Classic,New Zealand,Peter O'Malley ( 1 )
Apr 11-14,Louisiana Open,Louisiana,Steven Alker ( 1 )
Apr 18-21,Arkansas Classic,Arkansas,Jace Bugg ( 1 )
Apr 25-28,BMW Charity Pro-Am at The Cliffs,South Carolina,Charles Warren ( 1 )
May 2-5,Virginia Beach Open,Virginia,Cliff Kresge ( 1 )
May 9-12,Greater Richmond Open,Virginia,Patrick Moore ( 1 )
May 16-19,SAS Carolina Classic,North Carolina,Zoran Zorkic ( 1 )
May 30 - Jun 2,Northeast Pennsylvania Classic,Pennsylvania,Gary Hallberg ( 1 )
Jun 6-9,Samsung Canadian PGA Championship,Canada,Arron Oberholser ( 1 )
Jun 20-23,Lake Erie Charity Classic at Peek ' n Peak Resort,New York,Patrick Moore ( 2 )
Jun 27-30,Knoxville Open,Tennessee,Darron Stiles ( 3 )
Jul 4-7,Hershey Open,Pennsylvania,Cliff Kresge ( 2 )
Jul 11-14,Dayton Open,Ohio,Jason Buha ( 1 )
Jul 18-21,Fort Smith Classic,Arkansas,Todd Fischer ( 1 )
Jul 25-28,Price Cutter Charity Championship,Missouri,Patrick Sheehan ( 1 )
Aug 1-4,Omaha Classic,Nebraska,Jay Delsing ( 2 )
Aug 8-11,LaSalle Bank Open,Illinois,Marco Dawson ( 1 )
Aug 15-18,Preferred Health Systems Wichita Open,Kansas,Tyler Williamson ( 1 )
Aug 22-25,Permian Basin Open,Texas,Tag Ridings ( 1 )
