Year,Time,Athlete,Location
2019,26:48.36,Joshua Cheptegei ( UGA ),Doha
2018,27:13.01,Stanley Waithaka Mburu ( KEN ),Yokohama
2017,26:49.51,Mo Farah ( GBR ),London
2016,26:51.11,Yigrem Demelash ( ETH ),Hengelo
2015,26:50.97,Mo Farah ( GBR ),Eugene
2014,26:44.36,Galen Rupp ( USA ),Eugene
2013,26:51.02,Dejen Gebremeskel ( ETH ),Sollentuna
2012,26:51.16,Emmanuel Kipkemei Bett ( KEN ),Brussels
2011,26:43.16,Kenenisa Bekele ( ETH ),Brussels
2010,26:56.74,Josphat Kiprono Menjo ( KEN ),Turku
2009,26:46.31,Kenenisa Bekele ( ETH ),Berlin
2008,26:25.97,Kenenisa Bekele ( ETH ),Eugene
2007,26:46.19,Kenenisa Bekele ( ETH ),Brussels
2006,26:35.63,Micah Kogo ( KEN ),Brussels
2005,26:17.53,Kenenisa Bekele ( ETH ),Brussels
2004,26:20.31,Kenenisa Bekele ( ETH ),Ostrava
2003,26:29.22,Haile Gebrselassie ( ETH ),Brussels
2002,26:49.38,Sammy Kipketer ( KEN ),Brussels
2001,27:04.20,Abraham Chebii ( KEN ),Palo Alto
2000,27:03.87,Paul Tergat ( KEN ),Brussels
