Year,Title,Role
1982,Tag : The Assassination Game,Susan Swayze
1984,Children of the Corn,Vicky
1984,The Stone Boy,Eva Crescent Moon
1984,The Terminator,Sarah Connor
1986,Black Moon Rising,Nina
1986,King Kong Lives,Amy Franklin
1990,Mr. Destiny,Ellen Jane
1991,Terminator 2 : Judgment Day,Sarah Connor
1994,Silent Fall,Karen Rainer
1995,Separate Lives,Lauren Porter/Lena
1997,Dante 's Peak,Rachel Wando
1997,Shadow Conspiracy,Amanda Givens
1999,The Secret Life of Girls,Ruby Sanford
2001,Skeletons in the Closet,Tina Conway
2005,Smile,Bridget
2005,Missing in America,Kate
2005,The Kid & I,Susan Mandeville
2006,Broken,Karen
2009,Terminator Salvation,Sarah Connor ( voice )
2009,Hard Times,Cory Williams
