Rank,Athlete,Nationality,Time
1,Aldo Tomasini,Italy,23:20
2,Jim Brown,Scotland,23:35
3,Franco Fava,Italy,23:45
4,David Black,England,23:48
5,Larbi M'Hidra,Morocco,23:58
6,Barry Smith,England,24:04
7,Ahmed Roubial,Morocco,24:07
8,Ricardo Ortega,Spain,24:09
9,Fernando Cerrada,Spain,24:18
10,José Haro,Spain,24:21
11,Kamel Guemar,Algeria,24:21
12,Dennis Coates,England,24:31
13,Paul Bannon,Scotland,24:33
14,Mohamed Chahin,Morocco,24:43
15,Luca Bigatello,Italy,24:46
16,Léon Schots,Belgium,24:53
17,Peter Ratcliffe,Wales,24:55
18,Mark Broeckx,Belgium,24:57
19,Robin Walker,Ireland,24:59
20,Laurence Reilly,Scotland,25:01
