Call sign,Virtual Channel,Digital Channel,Branding,Affiliation,Licensee/Permittee
WJXT,4 ( 4.1 ) 4.2,42,Channel 4 This TV,Independent This TV,Graham Media Group
WJCT,7 ( 7.1 ) 7.2 7.3 7.4 7.5,7,WJCT Create WJCT World WJCT More ! /The Florida Channel WJCT Kids,PBS Create World The Florida Channel PBS Kids,"WJCT , Inc"
WTLV,12 ( 12.1 ) 12.2 12.3,13,NBC 12 Antenna TV Justice Network,NBC Antenna TV Justice Network,"Tegna , Inc"
WCWJ,17 ( 17.1 ) 17.2,34,CW 17 Bounce Jacksonville,The CW Bounce TV,Graham Media Group
WUJX-LD,18 ( 18.1 ) 18.2 18.3,18,Tu18Jax,Independent,"Budd Broadcasting Company , Inc"
WKBJ-LD,20 ( 20.1 ) 20.2 20.3 20.4 20.5 20.6 20.7,20,,Buzzr Laff ( TV network ),DTV America Corporation
WPXC,21 ( 21.1 ) 21.2 21.3 21.4 21.5 21.6,24,Ion Television,Ion Television qubo Ion Life Ion Shop Home Shopping Network QVC,Ion Media Networks
WJXX,25 ( 25.1 ) 25.2 25.3,10,ABC 25 First Coast News Weather Plus,ABC Quest ( U.S. TV network ),"Tegna , Inc"
WFOX,30 ( 30.1 ) 30.2 30.3,32,Fox 30 MyTVJax Heroes and Icons,Fox MyNetworkTV / MeTV Heroes and Icons,Cox Media Group
WKBJ-LD,35.1 35.2 35.3 35.4 35.5 35.6 35.7,35,,Grit ( TV network ) Stadium ( sports network ) Cozi TV Comet ( TV network ) Cheddar ( TV channel ) Escape ( TV network ),DTV America Corporation
WJAX,47 ( 47.1 ) 47.2 47.3,19,CBS 47 GetTV Decades,CBS GetTV Decades,Bayshore Television
WJEB,59 ( 59.1 ) 59.2 59.3 59.4 59.5,44,TBN The Church Channel JCTV Enlace Smile of a Child,TBN The Church Channel JCTV Enlace Smile of a Child,Community Educational Television
