Year,Horse,Trainer,Owner
1949,Bed o ' Roses,William C. Winfrey,Alfred G. Vanderbilt II
1948,Myrtle Charm,James W. Smith,Maine Chance Farm
1947,Bewitch,Horace A. Jones,Calumet Farm
1946,First Flight,Sylvester Veitch,C. V. Whitney
1945,Beaugay,Tom Smith,Maine Chance Farm
1944,Busher,James W. Smith,Edward R. Bradley
1943,Durazna ( DRF ),John M. Goode,Brownell Combs
1943,Twilight Tear ( TSD ),Ben A. Jones,Calumet Farm
1942,Askmenow,Kenneth Osborne,Hal Price Headley
1941,Petrify,Alfred Holberg,Alfred G. Vanderbilt II
1940,Level Best,John P. ( Doc ) Jones,Crispin Oglebay
1939,Now What,Bud Stotler,Alfred G. Vanderbilt II
1938,Incoselda,Ben A. Jones,Woolford Farm
1937,Jacola,Selby L. Burch,Nancy Carr Friendly
1936,Apogee,Duval A. Headley,Hal Price Headley
