Club,Winner,Runner-up,Years won,Years runner-up
Giti Pasand,2,5,"2012-13 , 2016-17","2010-11 , 2011-12 , 2013-14 , 2014-15 , 2018-19"
Shahid Mansouri Gharchak,2,3,"2010-11 , 2011-12","2003-04 , 2007-08 , 2009-10"
Esteghlal,2,1,"2000-2001 , 2001-02",2002-03
Tam Iran Khodro Tehran,2,1,"2004-05 , 2007-08",2005-06
Tasisat Daryaei,2,1,"2014-15 , 2015-16",2017-18
Mes Sungun,2,1,"2017-18 , 2018-19",2015-16
Peyman,2,0,"1998-99 , 1999-2000",
Shensa Saveh,2,0,"2003-04 , 2005-06",
Foolad Mahan Esfehan,2,0,"2008-09 , 2009-10",
Pas,1,1,2002-03,2001-02
Dabiri Tabriz,1,1,2013-14,2016-17
Eram Kish Qom,0,2,,"2004-05 , 2008-09"
Faraz Qom,0,1,,1999-2000
Hesa Isfahan,0,1,,2000-2001
Saba Qom,0,1,,2012-13
