Year,First,Second,Third
2007,Adrie Visser,Élodie Touffet,Marianne Vos
2008,Chantal Beltman,Marianne Vos,Ina-Yoko Teutenberg
2009,Emma Johansson,Loes Gunnewijk,Chantal Blaak
2010,Loes Gunnewijk,Annemiek van Vleuten,Giorgia Bronzini
2011,Marianne Vos,Kirsten Wild,Giorgia Bronzini
2012,Marianne Vos,Kirsten Wild,Emma Johansson
2013,Marianne Vos,Ellen van Dijk,Emma Johansson
2014,Lizzie Armitstead,Anna van der Breggen,Shelley Olds
2015,Jolien D'Hoore,Amy Pieters,Ellen van Dijk
2016,Chantal Blaak,Gracie Elvin,Trixi Worrack
2017,Amalie Dideriksen,Elena Cecchini,Lucinda Brand
2018,Amy Pieters,Alexis Ryan,Chloe Hosking
