Year,Title,Role,Notes
2007,The Black Donnellys,Young Jenny,3 episodes
2009,The Battery 's Down,Bat Mitzvah guest,Episode : Bad Bad News
2010-2013,Victorious,Jade West,Main role
2011,iCarly,Jade West,Crossover special : iParty with Victorious
2011,Big Time Rush,Heather Fox,Episode : Big Time Secret
2011-2015,Winx Club,Daphne,Voice role ; 24 episodes
2012,White Collar,Chloe Woods,Episode : Upper West Side Story
2013,The Exes,Tracy Cooper,Episode : Prelude to a Kiss
2014,Sam & Cat,Jade West,Episode : # TheKillerTunaJump : # Freddie # Jade # Robbie
2014,Killing Daddy,Callie Ross,Television film
2015-2016,Sex & Drugs & Rock & Roll,Gigi,Main role
2015,The Penguins of Madagascar,Singer,Voice role ; episode : The Penguin Who Loved Me
2015,American Dad !,Lena Horne,Voice role ; episode : A Star Is Reborn
2017-present,Dynasty,Fallon Carrington / Alexis Carrington ( 2019 ),Main role
2018,Robot Chicken,"Sun Baby , Marie Slim Browning",Voice role ; episode : Gim me That Chocolate Milk
2019,Welcome to the Wayne,Parana Sycamore,Voice role ; episode : That 's Squidjit Bowling
