Station,Location,Fuel,Capacity ( MW ),Status
Alholmens Kraft Power Station,Jakobstad,Biomass and Peat,265,Operational
Haapaniemi Power Station,Kuopio,Peat,90,Operational
Haapavesi Power Station,Haapavesi,Peat,154,Operational
Joensuu Power Station,Joensuu,Biomass and Peat,50,Operational
Kaukaan Voima Power Station,Lappeenranta,Biomass,125,Operational
Keljonlahti Power Station,Jyväskylä,Peat and Biomass,209,Operational
Kymin Voima Power Station,Kouvola,Biomass and Peat,76,Operational
Naantali Power Station,Naantali,"Coal , Natural gas , Peat , Biomass and RDF",142,Under construction
Naistenlahti Power Station,Tampere,"Natural gas , Peat , Wood and Fuel Oil",189,Operational
Pursiala Power Station,Mikkeli,Wood and Peat,62,Operational
Rauhalahti Power Station,Jyväskylä,Peat and Wood,87,Operational
Seinäjoki Power Station,Seinäjoki,Peat and Wood,120,Operational
Tihisenniemi Power Station,Kajaani,Peat,88,Operational
Toppila Power Station,Oulu,Peat,190,Operational
Vanaja Power Station,Hämeenlinna,"Biomass , Peat and Natural gas",54,Operational
