Team,City,Arena,Address
Meshkov Brest,Brest,Universal Sports Complex Victoria,"Brest , Leningradskaya str. , 4"
SKA Minsk,Minsk,Sports Palace Uruchje,"Minsk , Independence av. , 196"
GK Gomel,Gomel,GRCOR for game 's types of sports,"Gomel , Irininskaya st. , 16-2"
Kronon Grodno,Grodno,Sports Complex Victoria,"Grodno , Gagarina str. , 18/1"
Masheka Mogilev,Mogilev,SC Olympian,"Mogilev , 30 years of Victory str. , 1a"
BSUFC-SKA,Minsk,RCOR,"Minsk , Filimonova str. , 55/2"
Meshkov Brest 2,Brest,Universal Sports Complex Victoria,"Brest , Leningradskaya str. , 4"
RCOR,Minsk,RCOR,"Minsk , Filimonova str. , 55/2"
Belarus-2002,Minsk,Sports Palace Uruchje,"Minsk , Independence av. , 196"
Kronon Grodno 2,Grodno,Sports Complex Victoria,"Grodno , Gagarina str. , 18/1"
Masheka Mogilev 2,Mogilev,SC Olympian,"Mogilev , 30 years of Victory str. , 1a"
Vityaz Minsk,Minsk,RCOR,"Minsk , Filimonova str. , 55/2"
