Date,Co-hosts,Guests/segments
September 5,Regis Philbin & Kelly Ripa,"Paul Reiser , Kristin Cavallari , Avenue Q"
September 6,Regis Philbin & Kelly Ripa,"Doug Savant , Jamie Lynn Spears , Jamie Oliver"
September 7,Regis Philbin & Kelly Ripa,"Morgan Freeman , Susan Lucci , Joss Stone"
September 8,Regis Philbin & Kelly Ripa,"Samuel L. Jackson , Tony Danza"
September 9,Regis Philbin & Kelly Ripa,"Jennifer Lopez , Eugene Levy"
September 12,Regis Philbin & Kelly Ripa,"Eva Longoria , Hugh Laurie , Michael Bolton , Guinness World Record Breaker Week"
September 13,Regis Philbin & Kelly Ripa,"Joan Rivers , The Dandy Warhols , Guinness World Record Breaker Week"
September 14,Regis Philbin & Kelly Ripa,"Jodie Foster , Jeff Probst , Guinness World Record Breaker Week"
September 15,Regis Philbin & Kelly Ripa,"Reese Witherspoon , Guinness World Record Breaker Week"
September 16,Regis Philbin & Kelly Ripa,"Anthony Hopkins , Lara Flynn Boyle , Guinness World Record Breaker Week"
September 19,Regis Philbin & Kelly Ripa,"Caroline Rhea , Eddie Cibrian"
September 20,Regis Philbin & Kelly Ripa,"Donald Trump , Jo Frost , Ryan Cabrera"
September 21,Regis Philbin & Kelly Ripa,"Benjamin Bratt , Julian McMahon"
September 22,Regis Philbin & Kelly Ripa,Marg Helgenberger
September 23,Regis Philbin & Kelly Ripa,LIVE 's 2005 Relly Awards
September 26,Regis Philbin & Kelly Ripa,"Denise Richards , George Lopez , Boz Scaggs"
September 27,Regis Philbin & Kelly Ripa,"Geena Davis , Emma Roberts , Toni Braxton"
September 28,Regis Philbin & Kelly Ripa,"Jessica Alba , Amanda Bynes , Gretchen Wilson"
September 29,Regis Philbin & Kelly Ripa,"Matt LeBlanc , Shia LaBeouf , So You Think You Can Dance castoff"
September 30,Regis Philbin & Kelly Ripa,"Teri Hatcher , Raven-Symoné"
