Season,Winner,Runner-up,Third
1994-95,Lael Gregory,Ross Powers,Ivan Zeller
1995-96,Ross Powers,Rob Kingwill,Dan Smith
1996-97,Jonas Gunnarsson,Dan Smith,Trevor Andrew
1997-98,Fredrik Sterner,Klas Vangen,Kim Christiansen
1998-99,Ross Powers ( 2 ),Tommy Czeschin,Magnus Sterner
1999-00,Thomas Johansson,Magnus Sterner ( 2 ),Fredrik Sterner
2000-01,Magnus Sterner,Stefan Karlsson,Jan Michaelis
2001-02,Jan Michaelis,Risto Mattila,Antti Autti
2002-03,Xaver Hoffmann,Magnus Sterner ( 2 ),Domu Narita
2003-04,Risto Mattila,Antti Autti,Xaver Hoffmann
2004-05,Mathieu Crepel,Jan Michaelis,Kazuhiro Kokubo
2005-06,Jan Michaelis ( 2 ),Xaver Hoffmann,Kazuhiro Kokubo ( 2 )
2006-07,Ryo Aono,Kohei Kudo,Dolf van der Wal
2007-08,Iouri Podladtchikov,Gregory Bretz,Jeff Batchelor
2008-09,Ryo Aono,Nathan Johnstone,Gary Zebrowski
2009-10,Justin Lamoureux,Janne Korpi,Christophe Schmidt
2010-11,Nathan Johnstone,Ryo Aono,Arthur Longo
2011-12,Janne Korpi,Nathan Johnstone ( 2 ),Dimi de Jong
2012-13,Scott Lago,Yiwei Zhang,Shuhei Sato
2013-14,Scotty James,Johann Baisamy,Ryo Aono
