Name,Cars,Type,Launched,Shipbuilder
MV Isle of Cumbrae,18,Car ferry,1977,Ailsa Shipbuilding Company
MV Isle of Arran,80,Car ferry,1983,Ferguson Ailsa Ltd
MV Hebridean Isles,68,Car ferry,1985,Cochrane Shipbuilders Ltd
MV Loch Striven,12,Car ferry,1986,R.Dunston
MV Loch Linnhe,12,Car ferry,1986,R.Dunston
MV Loch Riddon,12,Car ferry,1986,R.Dunston
MV Loch Ranza,12,Car ferry,1987,R.Dunston
MV Isle of Mull,80,Car ferry,1987,Ferguson Shipbuilders
MV Lord of the Isles,56,Car ferry,1989,Ferguson Shipbuilders
MV Loch Dunvegan II,36,Car ferry,1991,Ferguson Shipbuilders
MV Loch Fyne,36,Car ferry,1991,Ferguson Shipbuilders
MV Loch Buie,10,Car ferry,1992,J W Miller & Sons Ltd
MV Loch Tarbert,18,Car ferry,1992,J W Miller & Sons Ltd
MV Caledonian Isles,110,Car ferry,1993,Richards Shipbuilders
MV Isle of Lewis,123,Car ferry,1995,Ferguson Shipbuilders
MV Loch Bhrusda,18,Car ferry,1996,McTay Marine
MV Loch Alainn,24,Car ferry,1997,Buckie Shipbuilders Ltd
MV Clansman V,90,Car ferry,1998,Appledore Shipbuilders
MV Ali Cat,0,Passenger catamaran,1999,South Boats of East Cowes
MV Lochnevis II,14,Car ferry,2000,Ailsa Shipbuilding Company
