Rank,City,County,Chinese-Americans,Percentage
1,East Honolulu,Honolulu,"5,190",10.8
2,Kalaheo,Kauai,297,6.8
3,Waimea,Kauai,92,5.4
4,Volcano,Hawaii,128,5.3
5,Aiea,Honolulu,428,4.6
6,Halawa,Honolulu,656,4.4
7,Laie,Honolulu,225,4.0
8,He'eia,Honolulu,173,3.9
9,Ko Olina,Honolulu,71,3.8
10,Pearl City,Honolulu,"1,700",3.6
11,Kaneohe,Honolulu,"1,222",3.6
12,Waikele,Honolulu,282,3.6
13,Punaluu,Honolulu,38,3.6
14,Wailuā Homesteads,Kauai,197,3.5
15,Discovery Harbour,Hawaii,38,3.4
16,Maunawili,Honolulu,64,3.0
17,Wailuku,Maui,428,2.7
18,Kailua,Honolulu,966,2.5
19,Waimalu,Honolulu,386,2.9
