Installation,Date,Location,Country
Camp Monteith,2007,Gnjilane,Kosovo
[ [ ] ],1973,Nam Phong,Thailand
Camp Carroll,1972,Cam Lo,Vietnam
Chu Lai,1970,Dung Quat Bay,Vietnam
Con Thien,1969,Vietnamese Demilitarized Zone,Vietnam
Da Nang Air Base,1972,Da Nang,Vietnam
Khe Sanh Combat Base,1975,Quảng Trị,Vietnam
Ky Ha Air Facility,,"Ky Ha Peninsula ( Quang Nam province , Nui Thanh District )",Vietnam
Marble Mountain Air Facility,1971,Marble Mountain,Vietnam
Patrol Base Jaker,2014,Nawa-I-Barakzayi District,Afghanistan
