Year,Time,Athlete,Location
1996,10:23.47,Courtney Meldrum ( USA ),"Atlanta , Georgia"
1997,10:30.90,Melissa Teemant ( USA ),Indianapolis
1998,9:55.28,Daniela Petrescu ( ROM ),Bucharest
1999,9:48.88,Yelena Motalova ( RUS ),Tula
2000,9:48.88,Cristina Casandra ( ROM ),Reims
2001,9:44.36,Justyna Bak ( POL ),Poznań
2002,9:16.51,Alesya Turova ( BLR ),Gdańsk
2003,9:08.33,Gulnara Samitova ( RUS ),Tula
2004,9:01.59,Gulnara Samitova ( RUS ),Iraklio
2005,9:15.04,Dorcus Inzikuru ( UGA ),Athens
2006,9:17.15,Wioletta Janowska ( POL ),Athens
2007,9:06.57,Yekaterina Volkova ( RUS ),Osaka
2008,8:58.81,Gulnara Samitova ( RUS ),Beijing
2009,9:12.50,Jennifer Simpson ( USA ),Berlin
2010,9:11.71,Milcah Chemos Cheywa ( KEN ),Rome
2011,9:07.03,Yuliya Zaripova ( RUS ),Daegu
2012,9:05.02,Yuliya Zaripova ( RUS ),Stockholm
2013,9:11.65,Milcah Cheywa ( KEN ),Moscow
2014,9:10.64,Hiwot Ayalew ( ETH ),Glasgow
2015,9:05.36,Habiba Ghribi ( TUN ),Brussels
