Club,Location,Venue,Capacity
Ajaccio,Ajaccio,Stade François Coty,"10,446"
Auxerre,Auxerre,Stade de l'Abbé-Deschamps,"21,379"
Caen,Caen,Stade Michel d'Ornano,"21,215"
Chambly,Chambly,Stade Pierre Brisson,"10,178"
Châteauroux,Châteauroux,Stade Gaston Petit,"17,173"
Clermont Foot,Clermont-Ferrand,Stade Gabriel Montpied,"11,980"
Grenoble,Grenoble,Stade des Alpes,"20,068"
Guingamp,Guingamp,Stade de Roudourou,"18,378"
Le Havre,Le Havre,Stade Océane,"25,178"
Le Mans,Le Mans,MMArena,"25,064"
Lens,Lens,Stade Bollaert-Delelis,"37,705"
Lorient,Lorient,Stade du Moustoir,"18,890"
Nancy,Tomblaine,Stade Marcel Picot,"20,087"
Niort,Niort,Stade René Gaillard,"10,886"
Orléans,Orléans,Stade de la Source,"7,000"
Paris FC,Paris ( 13th arrondissement ),Stade Charléty,"20,000"
Rodez,Rodez,Stade Paul-Lignon,"5,955"
Sochaux,Montbéliard,Stade Auguste Bonal,"20,005"
Troyes,Troyes,Stade de l'Aube,"21,684"
Valenciennes,Valenciennes,Stade du Hainaut,"25,172"
