Artist,Single,Released,Sales ( in millions )
"DJ Khaled featuring Justin Bieber , Quavo , Chance the Rapper and Lil Wayne",I 'm the One,2017,7.9
Rihanna featuring Mikky Ekko,Stay,2013,7.9
Imagine Dragons,Believer,2017,7.8
Leona Lewis,Bleeding Love,2008,7.7
Greeeen,Kiseki,2008,7.6
Busker Busker,Cherry Blossom Ending,2012,7.5
Lady Gaga featuring Beyoncé,Telephone,2010,7.4
Black Eyed Peas,The Time ( Dirty Bit ),2010,7.3
Avril Lavigne,Girlfriend,2007,7.3
Michel Teló,Ai Se Eu Te Pego,2011,7.2
Nicki Minaj,Starships,2012,7.2
Exile,Lovers Again,2007,7
Hilcrhyme,Shunkashūtō,2009,7
Maroon 5 featuring Christina Aguilera,Moves like Jagger,2011,7
