Round,Overall,Player,Position,Nationality,Club team
1,2,Jason Spezza,Centre,Canada,Windsor Spitfires ( OHL )
1,23,Tim Gleason,Defence,United States,Windsor Spitfires ( OHL )
3,81,Neil Komadoski,Defence,United States,University of Notre Dame ( NCAA )
4,99,Ray Emery,Goalie,Canada,Sault Ste . Marie Greyhounds ( OHL )
4,127,Christoph Schubert,Defence,Germany,Munich Barons ( Germany )
5,162,Stefan Schauer,Defence,Germany,Garmisch-Partenkirchen Riessersee SC ( Germany 2 )
6,193,Brooks Laich,Centre,Canada,Moose Jaw Warriors ( WHL )
7,218,Jan Platil,Defence,Czech Republic,Barrie Colts ( OHL )
7,223,Brandon Bochenski,Right Wing,United States,University of North Dakota ( NCAA )
8,235,Neil Petruic,Defence,Canada,Kindersley Klippers ( SJHL )
8,256,Gregg Johnson,Forward,United States,Boston University ( NCAA )
9,286,Toni Dahlman,Right Wing,Finland,Tampere Ilves ( Finland )
