Index,Organization,Year,Rank,Out of
Bribe Payers Index,Transparency International,2011,19,28
Corruption Perceptions Index,Transparency International,2016,31,176
Democracy Index,Economist Intelligence Unit,2017,33,167
Ease of Doing Business Index,World Bank,2018,15,190
Economic Freedom Index,Fraser Institute,2017,21,159
Economic Freedom Index,The Heritage Foundation,2018,13,180
Global Competitiveness Report,World Economic Forum,2017-2018,15,137
Global Peace Index,Institute for Economics and Peace,2018,34,163
Press Freedom Index,Reporters Without Borders,2018,42,180
Property Rights Index,Property Rights Alliance,2014,23,97
