Year,Title,Character,Channel
2000,Más que amor ... frenesí,María Fernanda López Fajardo,Venevisión
2000,Guerra de mujeres,,Venevisión
2001,Las González,,Venevisión
2003,Engañada,Jennifer Cardenás,Venevisión
2003,Ángel rebelde,Mariela Covarrubias,Venevisión
2000,Amarte así,Barbie,
2005,El amor no tiene precio,Federica 'Kika ' Mendéz,Fonovideo Production
2006,Mi vida eres tú,Beatriz 'Betty ',Venevisión
2007,Acorralada,Caramelo Vasquez,Univisión Network
2008,Torrente,Ana Julia Briceño Mendizábal,Venevisión
2010,Pecadora,Barbie,Venevisión Internacional
2010,Perro Amor,Daniela Valdiri,Telemundo
2010,El Fantasma de Elena,Corina Santander,Telemundo
2012,Relaciones Peligrosas,Ana Conde,Telemundo
2012,Los secretos de Lucía,Bonny Cabello,Venevisión
2014,Reina de Corazones,Jacqueline Montoya,Telemundo
2016,Eva la trailera,Ana Maria Granados,Telemundo
2017,La fan,Lucia Hernandez/Úrsula Molina vda de Blanco,Telemundo
