Recording or collection,Performer or agent,Year
Let Me Call You Sweetheart,Peerless Quartet,1911
Wild Cat Blues,Clarence Williams ' Blue Five,1923
Statesboro Blues,Blind Willie McTell,1928
Bonaparte 's Retreat,W.H . Stepp,1937
Decoration Day Parade,Vic and Sade,"May 28 , 1937"
Mahler Symphony No . 9,"Vienna Philharmonic Orchestra ; Bruno Walter , conductor",1938
Carousel of American Music,"George M. Cohan , Irving Berlin , Johnny Mercer , Arthur Freed , Shelton Brooks , Hoagy Carmichael , others","September 24 , 1940"
The Marshall Plan Speech,George C. Marshall,"June 5 , 1947"
A Garage in Gainesville and Execution Awaited,Destination Freedom,"September 25 and October 2 , 1949"
A Streetcar Named Desire soundtrack,Alex North,1951
Cry Me a River,Julie London,1955
Mack the Knife ( Two Versions ),Louis Armstrong and Bobby Darin,1956 and 1959
Fourth-quarter radio coverage of Wilt Chamberlain 's 100-point game,"Bill Campbell , announcer","March 2 , 1962"
A Love Supreme,John Coltrane,1964
It 's My Way !,Buffy Sainte-Marie,1964
Where Did Our Love Go,The Supremes,1964
People Get Ready,The Impressions,1965
Mama Tried,Merle Haggard,1968
Abraxas,Santana,1970
Class Clown,George Carlin,1972
