Artist,Single,Released,Sales ( in millions )
Bing Crosby,White Christmas,1942,50
Elton John,Candle in the Wind 1997,1997,33
Mungo Jerry,In the Summertime,1970,30
Bing Crosby,Silent Night,1935,30
Bill Haley & His Comets,Rock Around the Clock,1954,25
Whitney Houston,I Will Always Love You,1992,20
Elvis Presley,It 's Now or Never,1960,20
USA for Africa,We Are the World,1985,20
The Ink Spots,If I Did n't Care,1939,19
Baccara,"Yes Sir , I Can Boogie",1977,18
Celine Dion,My Heart Will Go On,1997,18
Mariah Carey,All I Want for Christmas Is You,1994,16
Bryan Adams,( Everything I Do ) I Do It for You,1991,15
John Travolta and Olivia Newton-John,You 're the One That I Want,1978,15
Scorpions,Wind of Change,1991,15
