Type,Abbr,Function,Distribution
Small nuclear RNA,snRNA,Splicing and other functions,Eukaryotes and archaea
Small nucleolar RNA,snoRNA,Nucleotide modification of RNAs,Eukaryotes and archaea
SmY RNA,SmY,mRNA trans-splicing,Nematodes
Small Cajal body-specific RNA,scaRNA,Type of snoRNA ; Nucleotide modification of RNAs,
Guide RNA,gRNA,mRNA nucleotide modification,Kinetoplastid mitochondria
Ribonuclease P,RNase P,tRNA maturation,All organisms
Ribonuclease MRP,RNase MRP,"rRNA maturation , DNA replication",Eukaryotes
Y RNA,,"RNA processing , DNA replication",Animals
Telomerase RNA Component,TERC,Telomere synthesis,Most eukaryotes
Spliced Leader RNA,SL RNA,"mRNA trans-splicing , RNA processing",
