Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Abdelhadi Habassa,Morocco,Long distance,2008,Norandrosterone,2 years
Milan Haborák,Slovakia,Shot put,2004 2010,Hormones Stanozolol,2 years Life ban
Abdelkader Hachlaf,Morocco,Middle distance,2004,EPO,2 years
Halima Hachlaf,Morocco,Long-distance,2013,Biological passport,4 years
Mohamed El Hachimi,Morocco,Long distance,2014,CERA,6 years
Semoy Hackett,Trinidad and Tobago,Sprinting,2011 2012,Methylhexaneamine Methylhexaneamine,6 months 2 years and 4 months
Mohammad Noor Imran Abdul Hadi,Malaysia,Sprinting,2011,Evading doping control,2 years
Vésteinn Hafsteinsson,Iceland,Discus throw,1984,Nandrolone,2 years
Linda Haglund,Sweden,Sprinting,1981,Anabolic steroids,18 months
Abdellah Haidane,Italy,Middle distance,2014,Tuaminoheptane,4 months
Fatima Hajjami,France,Long distance,2003,Stanozolol,2 years
Fani Halkia,Greece,Hurdling,2008,Methyltrienolone,2 years
Hussain Al-Hamdah,Saudi Arabia,Long distance,2009,Biological passport,2 years and 6 months
Tetyana Hamera-Shmyrko,Ukraine,Long distance,2011,Biological passport,4 years
Tahesia Harrigan-Scott,British Virgin Islands,Sprinting,2011,Methylhexaneamine,6 months
Alvin Harrison,United States,Sprinting,2004,"BALCO scandal : Anabolic steroids , insulin , HgH , EPO , modafinil",4 years
Calvin Harrison,United States,Sprinting,1993 2003,Pseudoephedrine Modafinil,3 months 2 years
Ridouane Harroufi,Morocco,Long distance,2013,EPO,2 years
Barakat Al-Harthi,Oman,Sprinting,2011,Methylprednisolone,6 months
Kjell Ove Hauge,Norway,"Discus throw , shot put",1998,Metandienone,18 months
