Year,Winner,School,Position
1995,Dexter Coakley,Appalachian State,LB
1996,Dexter Coakley ( 2 ),Appalachian State,LB
1997,Chris McNeil,North Carolina A & T,DE
1998,James Milton,Western Illinois,LB
1999,Al Lucas,Troy State,DT
2000,Edgerton Hartwell,Western Illinois,LB
2001,Derrick Lloyd,James Madison,LB
2002,Rashean Mathis,Bethune-Cookman,CB
2003,Jared Allen,Idaho State,DE
2004,Jordan Beck,Cal Poly,LB
2005,Chris Gocong,Cal Poly,DE
2006,Kyle Shotwell,Cal Poly,LB
2007,Kroy Biermann,Montana,DE
2008,Greg Peach,Eastern Washington,DE
2009,Arthur Moats,James Madison,DE
2010,J. C. Sherritt,Eastern Washington,LB
2011,Matt Evans,New Hampshire,LB
2012,Caleb Schreibeis,Montana State,DE
2013,Brad Daly,Montana State,DE
2014,Kyle Emanuel,North Dakota State,DE
