Name,Institution,Location
Rho Beta,Missouri State University,"Springfield , Missouri"
Rho Gamma,Christian Brothers University and Rhodes College,"Memphis , Tennessee"
Rho Delta,University of Tulsa,"Tulsa , Oklahoma"
Rho Epsilon,"Princeton , New Jersey City-Wide","Princeton , New Jersey"
Rho Zeta,"Poughkeepsie , New York City-Wide","Poughkeepsie , New York"
Rho Eta,Baylor University,"Waco , Texas"
Rho Theta,Appalachian State University,"Boone , North Carolina"
Rho Iota,"Bloomsburg , Bucknell , and Susquehanna Universities",
Rho Kappa,"Oberlin , Ohio City-Wide","Oberlin , Ohio"
Rho Lambda,University of South Carolina Aiken,"Aiken , South Carolina"
Rho Mu,Saginaw Valley State University,"Saginaw , Michigan"
Rho Nu,Angelo State University,"San Angelo , Texas"
Rho Xi,Xavier University,"Cincinnati , Ohio"
Rho Omicron,Slippery Rock University,
Rho Pi,"Edinboro , PA Core","Edinboro , Pennsylvania"
Rho Rho,University of Richmond,"Richmond , Virginia"
Rho Tau,Millsaps College,"Jackson , Mississippi"
Rho Upsilon,East Tennessee State University,"Johnson City , Tennessee"
Rho Phi,Lehigh University and Kutztown University,"Kutztown , Pennsylvania"
Rho Chi,Gallaudet University,"Washington , District of Columbia"
